Topologia,Fibras,FibrasPorGrupo,CantidadGrupos,Erlangs,DemandasProcesadas,Bloqueos_SinDF,Bloqueos_BFRmax_P1,Bloqueos_BFRmax_P3,Bloqueos_BFRmin_P1,Bloqueos_BFRmin_P3,Bloqueos_FullRuteoMin_P1,Bloqueos_FullRuteoMin_P3,PorcentajeBloqueo_SinDF,PorcentajeBloqueo_BFRmax_P1,PorcentajeBloqueo_BFRmax_P3,PorcentajeBloqueo_BFRmin_P1,PorcentajeBloqueo_BFRmin_P3,PorcentajeBloqueo_FullRuteoMin_P1,PorcentajeBloqueo_FullRuteoMin_P3,BFRmax_P1_Exitos,BFRmax_P1_Fallos,BFRmax_P1_SuccessRate,BFRmax_P1_RutasReconfig,BFRmax_P1_PromedioRutasPorExito,BFRmax_P3_Exitos,BFRmax_P3_Fallos,BFRmax_P3_SuccessRate,BFRmax_P3_RutasReconfig,BFRmax_P3_PromedioRutasPorExito,BFRmin_P1_Exitos,BFRmin_P1_Fallos,BFRmin_P1_SuccessRate,BFRmin_P1_RutasReconfig,BFRmin_P1_PromedioRutasPorExito,BFRmin_P3_Exitos,BFRmin_P3_Fallos,BFRmin_P3_SuccessRate,BFRmin_P3_RutasReconfig,BFRmin_P3_PromedioRutasPorExito,FullRuteoMin_P1_Exitos,FullRuteoMin_P1_Fallos,FullRuteoMin_P1_SuccessRate,FullRuteoMin_P1_RutasReconfig,FullRuteoMin_P1_PromedioRutasPorExito,FullRuteoMin_P3_Exitos,FullRuteoMin_P3_Fallos,FullRuteoMin_P3_SuccessRate,FullRuteoMin_P3_RutasReconfig,FullRuteoMin_P3_PromedioRutasPorExito,Tiempo_BFRmax_P1_ms,Tiempo_BFRmax_P3_ms,Tiempo_BFRmin_P1_ms,Tiempo_BFRmin_P3_ms,Tiempo_FullRuteoMin_P1_ms,Tiempo_FullRuteoMin_P3_ms
USNET,4,2,2,3000,10111,108,82,60,84,51,51,26,1.07,0.81,0.59,0.83,0.50,0.50,0.26,41,82,33.33,161,3.93,77,60,56.20,317,4.12,41,84,32.80,139,3.39,100,51,66.23,348,3.48,85,51,62.50,256,3.01,113,26,81.29,357,3.16,80653360800,59416592700,84020658500,63509352300,122694711600,92040961700
USNET,6,2,3,3000,9912,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0,0,0.00,0,0.00,0,0,0.00,0,0.00,0,0,0.00,0,0.00,0,0,0.00,0,0.00,0,0,0.00,0,0.00,30798609500,31934827600,30933559100,30401513200,30734029000,30773821900
USNET,6,3,2,3000,9805,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0,0,0.00,0,0.00,0,0,0.00,0,0.00,0,0,0.00,0,0.00,0,0,0.00,0,0.00,0,0,0.00,0,0.00,31058,31015,48856,30040,30704,29203
USNET,8,2,4,3000,9999,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0,0,0.00,0,0.00,0,0,0.00,0,0.00,0,0,0.00,0,0.00,0,0,0.00,0,0.00,0,0,0.00,0,0.00,28654,29898,29929,29861,29818,30136
USNET,8,4,2,3000,9916,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0,0,0.00,0,0.00,0,0,0.00,0,0.00,0,0,0.00,0,0.00,0,0,0.00,0,0.00,0,0,0.00,0,0.00,29991,29634,29105,30363,29837,29916
USNET,9,3,3,3000,10056,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0,0,0.00,0,0.00,0,0,0.00,0,0.00,0,0,0.00,0,0.00,0,0,0.00,0,0.00,0,0,0.00,0,0.00,30589,32033,49500,31179,31301,32589
USNET,4,2,2,3500,9972,153,128,98,109,102,105,55,1.53,1.28,0.98,1.09,1.02,1.05,0.55,50,128,28.09,187,3.74,79,98,44.63,317,4.01,60,109,35.50,165,2.75,90,102,46.88,290,3.22,86,105,45.03,222,2.58,145,55,72.50,428,2.95,66041,84661,64235,83749,121587,141494
USNET,6,2,3,3500,10000,1,1,1,0,0,0,0,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0,1,0.00,0,0.00,0,1,0.00,0,0.00,1,0,100.00,3,3.00,1,0,100.00,3,3.00,1,0,100.00,1,1.00,1,0,100.00,1,1.00,31814,31797,31706,31263,32323,31895
USNET,6,3,2,3500,10051,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0,0,0.00,0,0.00,0,0,0.00,0,0.00,0,0,0.00,0,0.00,0,0,0.00,0,0.00,0,0,0.00,0,0.00,34637,38332,35769,61972,36086,34284
USNET,8,2,4,3500,10127,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0,0,0.00,0,0.00,0,0,0.00,0,0.00,0,0,0.00,0,0.00,0,0,0.00,0,0.00,0,0,0.00,0,0.00,39602,56248,33650,33653,33650,33646
